,bar,users
80,大渡****蜘网吧,杨**
81,大渡****正网吧,李**
82,大渡****深网吧,毕**
83,大渡****会所),姚**
84,大渡****枫网吧,朱**
85,大渡****仁网吧,付**
86,大渡****来网吧,龚**
87,大渡****德网吧,梁**
88,大渡****纪网吧,万**
89,大渡****利网吧,唐**
90,大渡****琴网吧,周**
91,大渡****鑫网吧,郑**
92,大渡****牛网吧,李**
93,大渡****我网吧,封**
94,大渡****莹波）,黄**
95,大渡****联网吧,刘**
96,大渡****聚网吧,唐**
97,大渡****堰网吧,李**
98,渝中****渝网吧,吕**
99,渝中****端网吧,江**
100,渝中****梦网吧,姚**
101,渝中****限公司,董**
102,渝中****半网吧,王**
103,渝中****西网吧,周**
104,渝中****比网吧,王**
105,渝中****村网吧,毛**
106,渝中****松网吧,喻**
107,渝中****鸟网吧,马**
108,渝中****艺网吧,闵**
109,渝中****梦网吧,孟**
110,渝中****网吧),肖**
111,渝中****妹网吧,周**
112,渝中****玛网吧,王**
113,渝中****灏网吧,沈**
114,渝中****燕网吧,廖**
115,渝中****星网吧,卢**
116,渝中****雪网吧,刘**
117,渝中****吉网吧,张**
118,渝中****点网吧,周**
119,渝中****网吧),李**
120,渝中****寰宇),胡**
121,渝中****子网吧,杨**
122,渝中****心网吧,刘**
123,江北****克网吧,唐**
124,江北****会所）,谷**
125,江北****会所）,王**
126,江北****强网吧,何**
127,江北****家园),周**
128,江北****鑫网吧,刘**
129,江北****会所）,罗**
130,江北****宁网吧,张**
131,江北****渔网吧,李**
132,江北****会所）,周**
133,江北****复网吧,张**
134,江北****豪网吧,付**
135,江北****会所）,罗**
136,江北****创网吧,余**
137,江北****乐部）,赵**
138,江北****会所）,刘**
139,江北****会所）,徐**
140,江北****会所）,方**
141,江北****剑网吧,张**
142,江北****会所）,王**
143,重庆****会所）,朱**
144,江北****运网吧,向**
145,江北****验网吧,包**
146,渝中****路网吧,张**
147,渝中****洁网吧,邓**
148,南岸****奇网吧,黄**
149,南岸****带网吧,王**
150,南岸****费点）,周**
151,南岸****捷网吧,张**
152,南岸****河网吧,蔡**
153,南岸****虫网吧,彭**
154,南岸****秀网吧,章**
155,南岸****飞网吧,刘**
156,南岸****奇网吧,段**
157,南岸****网吧 ,谢**
158,南岸****舰网吧,甘**
159,南岸****灵网吧,计**
160,南岸****克网吧,王**
161,南岸****雅网吧,周**
162,南岸****顺网吧,冯**
163,南岸****达网吧,廖**
164,南岸****网网吧,周**
165,南岸****盈网吧,毛**
166,南岸****仕网吧,李**
167,南岸****莎网吧,周**
168,南岸****恋网吧,商**
169,南岸****贝网吧,蹇**
170,南岸****行网吧,张**
171,南岸****花网吧,梅**
172,南岸****太网吧,陈**
173,南岸****斯网吧,李**
174,南岸****新网吧,丁**
175,南岸****益网吧,齐**
176,南岸****人网吧,周**
177,南岸****尔网吧,李**
178,南岸****网吧）,刘**
179,南岸****概念),朱**
180,南岸****影网吧,张**
181,南岸****悦网吧,邹**
182,南岸****英网吧,王**
183,南岸****洋网吧,邓**
184,南岸****佳网吧,王**
185,南岸****康网吧,巫**
186,南岸****通网吧,陈**
187,南岸****方网吧,孙**
188,南岸****日网吧,吴**
189,南岸****店网吧,何**
190,南岸****佳网吧,蒋**
191,南岸****枫网吧,张**
192,南岸****车网吧,赵**
193,南岸****友网吧,李**
194,南岸****网苑),唐**
195,南岸****锁网吧,徐**
196,南岸****旋网吧,李**
197,南岸****网吧）,李**
198,南岸****赢网吧,刘**
199,南岸****潮网吧,王**
